@relation tic-tac-toe

@attribute attribute_0 {1,2,3}
@attribute attribute_1 {1,2,3}
@attribute attribute_2 {1,2,3}
@attribute attribute_3 {1,2,3}
@attribute attribute_4 {1,2,3}
@attribute attribute_5 {1,2,3}
@attribute attribute_6 {1,2,3}
@attribute attribute_7 {1,2,3}
@attribute attribute_8 {1,2,3}
@attribute Class {1,2}

@data
3,2,1,2,2,1,3,3,3,2
3,2,1,2,1,2,3,3,3,2
3,2,1,1,3,3,2,2,3,2
3,2,1,1,3,2,3,2,3,2
3,2,1,1,3,2,2,3,3,2
3,2,1,1,3,2,1,1,3,2
3,2,1,1,3,1,2,1,3,2
3,2,1,1,3,1,1,2,3,2
3,2,1,1,2,2,3,3,3,2
3,1,3,3,2,2,3,2,1,2
3,1,3,3,2,2,3,1,2,2
3,1,3,3,2,1,3,2,2,2
3,1,3,2,3,2,3,1,2,2
3,1,3,2,3,2,2,1,3,2
3,1,3,2,3,2,1,2,3,2
3,1,3,2,2,3,2,1,3,2
3,1,3,2,2,3,1,2,3,2
3,1,3,2,1,3,2,2,3,2
3,1,3,1,3,2,3,2,2,2
3,1,2,3,3,3,2,1,2,2
3,1,2,3,3,3,1,2,2,2
3,1,2,3,3,2,2,1,3,2
3,1,2,3,3,2,1,2,3,2
3,1,2,3,2,2,3,1,3,2
3,1,2,3,2,1,3,3,2,2
3,1,2,3,2,1,3,2,3,2
3,1,2,3,1,2,3,2,3,2
3,1,2,3,1,2,3,1,1,2
3,1,2,3,1,1,3,2,1,2
3,1,2,3,1,1,3,1,2,2
3,1,2,2,3,3,2,1,3,2
3,1,2,2,3,2,1,3,3,2
3,1,2,2,3,1,1,1,3,2
3,1,2,2,2,1,3,3,3,2
3,1,2,2,1,2,3,3,3,2
3,1,2,1,3,3,2,2,3,2
3,1,2,1,3,2,2,3,3,2
3,1,2,1,3,2,1,1,3,2
3,1,2,1,3,1,1,2,3,2
3,1,1,3,3,2,3,2,2,2
3,1,1,3,3,2,2,2,3,2
3,1,1,3,2,3,3,2,2,2
3,1,1,2,3,2,2,3,3,2
3,1,1,2,3,1,2,1,3,2
3,1,1,2,3,1,1,2,3,2
3,1,1,1,3,1,2,2,3,2
2,3,3,3,3,2,3,2,2,2
2,3,3,3,2,3,2,2,3,2
2,3,3,2,3,3,3,2,2,2
2,3,3,2,3,2,3,3,2,2
2,3,3,2,3,2,3,1,1,2
2,3,3,2,3,2,1,3,1,2
2,3,3,2,3,1,3,2,1,2
2,3,3,2,3,1,3,1,2,2
2,3,3,2,3,1,1,3,2,2
2,3,3,2,1,3,1,2,3,2
2,3,3,1,3,2,3,2,1,2
2,3,3,1,3,2,3,1,2,2
2,3,3,1,3,2,2,3,1,2
2,3,3,1,3,2,1,3,2,2
2,3,3,1,3,1,3,2,2,2
2,3,3,1,3,1,2,3,2,2
2,3,3,1,2,3,2,1,3,2
2,3,3,1,2,3,1,2,3,2
2,3,2,3,3,3,3,2,2,2
2,3,2,3,3,3,2,2,3,2
2,3,2,3,3,3,1,2,1,2
2,3,2,3,3,3,1,1,2,2
2,3,2,3,3,2,2,3,3,2
2,3,2,3,3,2,1,3,1,2
2,3,2,3,3,1,2,3,1,2
2,3,2,3,3,1,1,3,2,2
2,3,2,2,3,3,3,3,2,2
2,3,2,2,3,3,1,3,1,2
2,3,2,2,3,2,3,3,3,2
2,3,2,2,3,1,3,3,1,2
2,3,2,2,3,1,1,3,3,2
2,3,2,2,2,3,3,3,3,2
2,3,2,2,1,1,3,3,3,2
2,3,2,1,3,3,2,3,1,2
2,3,2,1,3,3,1,3,2,2
2,3,2,1,3,2,1,3,3,2
2,3,2,1,3,1,3,3,2,2
2,3,2,1,3,1,1,3,1,2
2,3,2,1,2,1,3,3,3,2
2,3,2,1,1,2,3,3,3,2
2,3,1,3,3,3,2,2,1,2
2,3,1,3,3,3,1,2,2,2
2,3,1,3,3,2,2,3,1,2
2,3,1,3,3,2,1,3,2,2
2,3,1,2,3,3,1,3,2,2
2,3,1,2,3,2,3,3,1,2
2,3,1,2,3,2,1,3,3,2
2,3,1,2,3,1,3,3,2,2
2,3,1,2,3,1,1,3,1,2
2,3,1,2,1,2,3,3,3,2
2,3,1,1,3,2,3,3,2,2
2,3,1,1,3,2,2,3,3,2
2,3,1,1,3,2,1,3,1,2
2,3,1,1,3,1,1,3,2,2
2,3,1,1,2,2,3,3,3,2
2,2,3,3,3,3,3,2,2,2
2,2,3,3,3,3,2,1,1,2
2,2,3,3,3,3,1,2,1,2
2,2,3,3,3,2,3,3,2,2
2,2,3,3,3,2,3,1,1,2
2,2,3,3,3,1,3,1,2,2
2,2,3,3,2,3,2,3,3,2
2,2,3,3,2,3,1,1,3,2
2,2,3,3,2,2,3,3,3,2
2,2,3,3,1,3,2,1,3,2
2,2,3,2,3,3,3,3,2,2
2,2,3,2,3,3,3,1,1,2
2,2,3,2,3,3,1,1,3,2
2,2,3,2,3,2,3,3,3,2
2,2,3,2,3,1,3,3,1,2
2,2,3,2,1,3,1,3,3,2
2,2,3,2,1,1,3,3,3,2
2,2,3,1,3,3,3,2,1,2
2,2,3,1,3,3,1,2,3,2
2,2,3,1,3,1,3,3,2,2
2,2,3,1,3,1,3,2,3,2
2,2,3,1,2,1,3,3,3,2
2,2,3,1,1,3,2,3,3,2
2,2,3,1,1,3,1,1,3,2
2,2,3,1,1,2,3,3,3,2
2,2,1,3,3,3,3,1,2,2
2,2,1,3,3,3,2,3,1,2
2,2,1,3,3,3,2,1,3,2
2,2,1,3,3,3,1,3,2,2
2,2,1,3,3,3,1,2,3,2
2,2,1,3,2,1,3,3,3,2
2,2,1,3,1,2,3,3,3,2
2,2,1,2,1,3,3,3,3,2
2,2,1,1,3,2,3,3,3,2
2,2,1,1,2,3,3,3,3,2
2,2,1,1,1,1,3,3,3,2
2,1,3,3,3,3,2,2,1,2
2,1,3,3,3,3,2,1,2,2
2,1,3,3,3,3,1,2,2,2
2,1,3,3,3,2,3,2,1,2
2,1,3,3,3,2,3,1,2,2
2,1,3,3,3,1,3,2,2,2
2,1,3,3,2,3,2,1,3,2
2,1,3,3,2,3,1,2,3,2
2,1,3,3,1,3,2,2,3,2
2,1,3,2,3,3,3,2,1,2
2,1,3,2,3,3,3,1,2,2
2,1,3,2,3,2,3,3,1,2
2,1,3,2,3,2,3,1,3,2
2,1,3,2,3,1,3,3,2,2
2,1,3,2,3,1,3,2,3,2
2,1,3,2,3,1,3,1,1,2
2,1,3,2,2,3,3,1,3,2
2,1,3,2,2,3,1,3,3,2
2,1,3,2,1,3,1,1,3,2
2,1,3,1,3,3,3,2,2,2
2,1,3,1,3,3,2,2,3,2
2,1,3,1,3,2,3,3,2,2
2,1,3,1,3,2,3,2,3,2
2,1,3,1,3,2,3,1,1,2
2,1,3,1,3,1,3,2,1,2
2,1,3,1,3,1,3,1,2,2
2,1,3,1,2,3,3,2,3,2
2,1,3,1,2,3,2,3,3,2
2,1,3,1,2,2,3,3,3,2
2,1,3,1,1,3,2,1,3,2
2,1,3,1,1,3,1,2,3,2
2,1,2,3,3,3,3,1,2,2
2,1,2,3,3,3,2,1,3,2
2,1,2,3,3,3,1,3,2,2
2,1,2,3,3,3,1,1,1,2
2,1,2,3,2,1,3,3,3,2
2,1,2,3,1,2,3,3,3,2
2,1,2,2,3,1,3,3,3,2
2,1,2,2,1,3,3,3,3,2
2,1,2,1,3,2,3,3,3,2
2,1,2,1,2,3,3,3,3,2
2,1,2,1,1,1,3,3,3,2
2,1,1,3,3,3,3,2,2,2
2,1,1,3,3,3,2,3,2,2
2,1,1,3,3,3,2,2,3,2
2,1,1,3,3,3,2,1,1,2
2,1,1,3,2,2,3,3,3,2
2,1,1,1,2,1,3,3,3,2
2,1,1,1,1,2,3,3,3,2
1,3,3,2,3,2,3,2,1,2
1,3,3,2,3,2,3,1,2,2
1,3,3,2,3,2,2,3,1,2
1,3,3,2,3,1,3,2,2,2
1,3,3,2,3,1,2,3,2,2
1,3,3,2,2,3,1,2,3,2
1,3,3,1,3,2,3,2,2,2
1,3,3,1,2,3,2,2,3,2
1,3,2,3,3,3,2,2,1,2
1,3,2,3,3,3,1,2,2,2
1,3,2,3,3,2,2,3,1,2
1,3,2,3,3,1,2,3,2,2
1,3,2,2,3,3,2,3,1,2
1,3,2,2,3,3,1,3,2,2
1,3,2,2,3,1,3,3,2,2
1,3,2,2,3,1,2,3,3,2
1,3,2,2,1,2,3,3,3,2
1,3,2,1,3,2,2,3,3,2
1,3,2,1,3,2,1,3,1,2
1,3,2,1,3,1,2,3,1,2
1,3,2,1,3,1,1,3,2,2
1,3,1,3,3,2,2,3,2,2
1,3,1,2,3,3,2,3,2,2
1,3,1,2,3,2,3,3,2,2
1,3,1,2,3,2,2,3,3,2
1,3,1,2,3,2,1,3,1,2
1,3,1,2,3,1,1,3,2,2
1,3,1,1,3,2,2,3,1,2
1,2,3,3,3,3,2,2,1,2
1,2,3,3,3,3,2,1,2,2
1,2,3,3,3,3,1,2,2,2
1,2,3,3,3,2,3,1,2,2
1,2,3,3,3,1,3,2,2,2
1,2,3,3,1,3,2,2,3,2
1,2,3,2,3,3,3,2,1,2
1,2,3,2,3,3,3,1,2,2
1,2,3,2,3,3,1,2,3,2
1,2,3,2,3,1,3,3,2,2
1,2,3,2,3,1,3,2,3,2
1,2,3,2,3,1,3,1,1,2
1,2,3,2,2,3,1,3,3,2
1,2,3,2,1,3,3,2,3,2
1,2,3,2,1,3,2,3,3,2
1,2,3,1,3,3,2,2,3,2
1,2,3,1,3,2,3,3,2,2
1,2,3,1,3,2,3,2,3,2
1,2,3,1,2,2,3,3,3,2
1,2,3,1,1,3,1,2,3,2
1,2,2,3,3,3,3,1,2,2
1,2,2,3,3,3,2,1,3,2
1,2,2,3,3,3,1,3,2,2
1,2,2,3,3,3,1,1,1,2
1,2,2,3,2,1,3,3,3,2
1,2,2,3,1,2,3,3,3,2
1,2,2,2,3,1,3,3,3,2
1,2,2,2,1,3,3,3,3,2
1,2,2,1,3,2,3,3,3,2
1,2,2,1,1,1,3,3,3,2
1,2,1,3,3,3,3,2,2,2
1,2,1,3,3,3,2,3,2,2
1,2,1,3,3,3,2,2,3,2
1,2,1,3,3,3,2,1,1,2
1,2,1,3,3,3,1,2,1,2
1,2,1,3,3,3,1,1,2,2
1,2,1,3,2,2,3,3,3,2
1,2,1,2,3,2,3,3,3,2
1,2,1,2,1,1,3,3,3,2
1,2,1,1,2,1,3,3,3,2
1,2,1,1,1,2,3,3,3,2
1,1,3,3,3,2,3,2,2,2
1,1,3,3,2,3,2,2,3,2
1,1,3,2,3,2,3,3,2,2
1,1,3,2,3,1,3,2,1,2
1,1,3,2,2,3,3,2,3,2
1,1,3,2,1,3,2,1,3,2
1,1,3,2,1,3,1,2,3,2
1,1,3,1,3,1,3,2,2,2
1,1,3,1,2,3,2,1,3,2
1,1,3,1,1,3,2,2,3,2
1,1,2,3,3,3,2,3,2,2
1,1,2,3,3,3,2,1,1,2
1,1,2,3,3,3,1,2,1,2
1,1,2,3,3,3,1,1,2,2
1,1,2,3,2,2,3,3,3,2
1,1,2,2,3,2,3,3,3,2
1,1,2,2,2,3,3,3,3,2
1,1,2,1,2,1,3,3,3,2
1,1,2,1,1,2,3,3,3,2
1,1,1,3,3,3,2,2,1,2
1,1,1,3,3,3,2,1,2,2
1,1,1,3,3,3,1,2,2,2
